"","Number of Trees","Trees per hectare","Crown area(m2)","Crown Cover"
"1M",1410686,93.84,95694831.45,63.65
"1.5M",1394253,92.74,95683618.61,63.65
"2M",1374847,91.45,95666100.34,63.64
"5M",1316542,87.57,95480005.58,63.51
"10M",1143727,76.08,92123196.62,61.28
"15M",790261,52.57,77419653.59,51.5
"20M",427181,28.42,51988473.54,34.58
"25M",161922,10.77,24506903.62,16.3
"30M",46995,3.13,8511531.17,5.66
"35M",15047,1,3099010.25,2.06
"40M",4628,0.31,1058635.64,0.7
